nome,partido_2026,cargo_2026,uf_2026,id_camara,PEC 6x1,Igualdade Salarial,Misoginia (urgência),PL do Veneno,PL da Devastação
Antônia Lúcia,MDB,Deputada Federal,AC,123756,Sim,Não votou,Não votou,Não votou,Sim
Mara Rocha,REPUBLICANOS,Senadora,AC,204471,—,—,—,Sim,—
Perpétua Almeida,PCDOB,Deputada Federal,AC,73943,—,—,—,Não,—
Socorro Neri,PP,Deputada Federal,AC,104552,Sim,Sim,Sim,—,Não votou
Vanda Milani,REPUBLICANOS,Deputada Federal,AC,204434,—,—,—,Sim,—
Tereza Nelma,MDB,Deputada Federal,AL,204466,—,—,—,Não,—
Aline Gurgel,UNIÃO,Deputada Federal,AP,204353,Sim,Não votou,Sim,Não votou,Não votou
Leda Sadala,PSD,Deputada Federal,AP,204375,—,—,—,Sim,—
Professora Goreth,PODE,Deputada Federal,AP,220580,Não votou,Sim,Não votou,—,Não votou
Professora Marcivânia,PCDOB,Deputada Federal,AP,160641,Sim,Não votou,Sim,Não,Não votou
Alice Portugal,PCDOB,Deputada Federal,BA,74057,Sim,Sim,Sim,Não,Não
Ivoneide Caetano,PT,Deputada Federal,BA,220696,Sim,Sim,Sim,—,Não
Lidice da Mata,PSB,Deputada Federal,BA,139285,Sim,Sim,Sim,Não,Não
Professora Dayane Pimentel,UNIÃO,Deputada Federal,BA,204565,—,—,—,Sim,—
Roberta Roma,PL,Deputada Federal,BA,220693,Sim,Sim,Não votou,—,Não votou
Rogeria Santos,REPUBLICANOS,Deputada Federal,BA,220695,Sim,Sim,Não,—,Sim
Dayany do Capitão,UNIÃO,Deputada Federal,CE,220659,Não votou,Sim,Não votou,—,Sim
Fernanda Pessoa,PSD,Deputada Federal,CE,220656,Sim,Sim,Sim,—,Sim
Luizianne,REDE,Senadora,CE,178866,Sim,Sim,Sim,Não,Não
Bia Kicis,PL,Senadora,DF,204374,Sim,Não,Não,Sim,Sim
